Hypoglycemia," Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions â€” many rare â€” can cause low blood sugar in people who don't have diabetes.The most common cause of hypoglycemia is medications used to treat diabetes mellitus such as insulin, sulfonylureas, and biguanides. Risk is greater in diabetics who have eaten less than usual, exercised more than usual, or drunk alcohol. Other causes of hypoglycemia include kidney failure, certain tumors, liver disease, hypothyroidism, starvation, inborn errors of metabolism, severe infection or sepsis, reactive hypoglycemia, and a number of drugs, including alcohol. "
Acne,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.It often causes whiteheads, blackheads or pimples, and usually appears on the face, forehead, chest, upper back and shoulders. Acne is most common among teenagers, though it affects people of all ages.Effective treatments are available, but acne can be persistent. The pimples and bumps heal slowly, and when one begins to go away, others seem to crop up."
Diabetes,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.Symptoms often include frequent urination, increased thirst, and increased appetite. If left untreated, diabetes can cause many complications. Acute complications can include diabetic ketoacidosis, hyperosmolar hyperglycemic state, or death. Serious long-term complications include cardiovascular disease, stroke, chronic kidney disease, foot ulcers,"
Impetigo,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.The most common presentation is yellowish crusts on the face, arms, or legs. Less commonly there may be large blisters which affect the groin or armpits. The lesions may be painful or itchy. Fever is uncommon.
It is typically due to either Staphylococcus aureus or Streptococcus pyogenes. Risk factors include attending day care, crowding, poor nutrition, diabetes mellitus, contact sports, and breaks in the skin"
Hypertension,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms. Long-term high blood pressure, however, is a major risk factor for coronary artery disease, stroke, heart failure, atrial fibrillation, peripheral arterial disease, vision loss, chronic kidney disease, and dementia."
Peptic ulcer diseae,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.. The most common symptom of a peptic ulcer is stomach pain.Peptic ulcers include: 1. Gastric ulcers that occur on the inside of the stomach 2. Duodenal ulcers that occur on the inside of the upper portion of your small intestine (duodenum).The most common causes of peptic ulcers are infection with the bacterium Helicobacter pylori (H. pylori) and long-term use of nonsteroidal anti-inflammatory drugs (NSAIDs) such as ibuprofen (Advil, Motrin IB, others) and naproxen sodium (Aleve). Stress and spicy foods do not cause peptic ulcers. However, they can make your symptoms worse."
Dimorphic hemorrhoids(piles),"Hemorrhoids, also spelled haemorrhoids, are vascular structures in the anal canal. In their ... Other names, Haemorrhoids, piles, hemorrhoidal disease .Hemorrhoids (HEM-uh-roids), also called piles, are swollen veins in your anus and lower rectum, similar to varicose veins. Hemorrhoids can develop inside the rectum (internal hemorrhoids) or under the skin around the anus (external hemorrhoids).Nearly three out of four adults will have hemorrhoids from time to time. Hemorrhoids have a number of causes, but often the cause is unknown."
Common Cold,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold..Children younger than 6 are at greatest risk of colds, but healthy adults can also expect to have two or three colds annually.Most people recover from a common cold in a week or 10 days. Symptoms might last longer in people who smoke. If symptoms don't improve, see your doctor."
Chicken pox,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters. Other symptoms may include fever, tiredness, and headaches. Symptoms usually last five to seven days. Complications may occasionally include pneumonia, inflammation of the brain, and bacterial skin infections. The disease is often more severe in adults than in children. "
Cervical spondylosis,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).This condition becomes more common with age. Many, however, don't have symptoms—you may not even be aware that these changes are going on in your neck. Cervical spondylosis usually doesn't lead to disability. But sometimes these changes in the spine can cause the spinal cord or nerve roots attached to it to become compressed. This can cause your legs or hands to feel weak or clumsy."
Hyperthyroidism,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat."
Urinary tract infection,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.Uropathogenic E. coli from the gut is the cause of 80–85% of community-acquired urinary tract infections, with Staphylococcus saprophyticus being the cause in 5–10%. Rarely they may be due to viral or fungal infections. Healthcare-associated urinary tract infections (mostly related to urinary catheterization) involve a much broader range of pathogens including: E. coli (27%), Klebsiella (11%), Pseudomonas (11%), the fungal pathogen Candida albicans (9%), and Enterococcus(7%) among others."
Varicose veins,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs.  Usually they result in few symptoms but some may experience fullness or pain in the area. Complications may include bleeding or superficial thrombophlebitis. When varices occur in the scrotum it is known as a varicocele while those around the anus are known as hemorrhoids. Varicose veins may negatively affect quality of life due to their physical, social and psychological effects."
AIDS,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.HIV is caused by a virus. It can spread through sexual contact or blood, or from mother to child during pregnancy, childbirth or breast-feeding.The most advanced stage of HIV infection is acquired immunodeficiency syndrome (AIDS), which can take many years to develop if not treated, depending on the individual. AIDS is defined by the development of certain cancers, infections or other severe long term clinical manifestations."
Paralysis (brain hemorrhage),"Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body.There are many causes of brain hemorrhaging. Some of them include a tangling of blood vessels, called an arteriovenous malformation (AVM); bleeding disorders; cerebral aneurysms; head injury; and the use of blood thinners. Drug use and smoking may also cause hemorrhages.A subarachnoid hemorrhage is usually caused by a rupture of an abnormal bulge in a blood vessel in your brain, according to the Mayo Clinic. This bulge is called a brain aneurysm.Brain hemorrhages can be deadly."
Typhoid,"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.This is commonly accompanied by weakness, abdominal pain, constipation, headaches, and mild vomiting. Some people develop a skin rash with rose colored spots. In severe cases, people may experience confusion. Without treatment, symptoms may last weeks or months. Typhoid fever is rare in industrialized countries. However, it remains a serious health threat in the developing world, especially for children.Typhoid fever spreads through contaminated food and water or through close contact with someone who's infected. Signs and symptoms usually include a high fever, headache, abdominal pain, and either constipation or diarrhea."
Hepatitis B,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.It can cause both acute and chronic infection. Many people have no symptoms during the initial infection. In acute infection, some may develop a rapid onset of sickness with vomiting, yellowish skin, tiredness, dark urine and abdominal pain. Often these symptoms last a few weeks and rarely does the initial infection result in death. It may take 30 to 180 days for symptoms to begin. "
Fungal infection,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.Fungal infections, caused by harmful fungi are very common and are not very serious if they are diagnosed quickly and correctly and treated. However, where fungal infections are concerned, once treated, reinfections can easily occur, as fungi can be a tad difficult to kill."
Hepatitis C,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.Until recently, hepatitis C treatment required weekly injections and oral medications that many HCV-infected people couldn't take because of other health problems or unacceptable side effects.
That's changing. Today, chronic HCV is usually curable with oral medications taken every day for two to six months."
Migraine,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.Migraine is a primary headache disorder characterized by recurrent headaches that are moderate to severe. Typically, episodes affect one half of the head, are pulsating in nature, and last from a few hours to 3 days. Associated symptoms may include nausea, vomiting, and sensitivity to light, sound, or smell. The pain is generally made worse by physical activity. Up to one-third of people affected have aura: typically a short period of visual disturbance that signals that the headache will soon occur. "
Bronchial Asthma,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.Bronchial asthma seems to be much more common in professional athletes than the remainder. A relatively high incidence of asthma is discovered in sports such as biking, mountain cycling, as well as long-distance operating, and also a relatively lower occurrence is located in weightlifting and also diving. The exercise-induced bronchial asthma shares lots of functions with allergic bronchial asthma."
Alcoholic hepatitis,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol.Patients typically have a history of decades of heavy alcohol intake, typically 8-10 drinks per day. It is usually found in association with fatty liver, an early stage of alcoholic liver disease, and may contribute to the progression of fibrosis, leading to cirrhosis. Symptoms may present acutely after a large amount of alcoholic intake in a short time period, or after years of excess alcohol intake. "
Jaundice,"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it.  Jaundice in adults is typically a sign indicating the presence of underlying diseases involving abnormal heme metabolism, liver dysfunction, or biliary-tract obstruction. The prevalence of jaundice in adults is rare, while jaundice in babies is common with an estimated 80% affected during their first week of life. "
Hepatitis E,"A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.Hepatitis E infection is found worldwide. Two different patterns are observed, where hepatitis E is found in: 1. resource-poor areas with frequent water contamination; and 2. areas with safe drinking water supplies. The disease is common in low- and middle-income countries with limited access to essential water, sanitation, hygiene and health services. In these areas, the disease occurs both as outbreaks and as sporadic cases."
Dengue,"An acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. â€” called also breakbone fever, dengue fever.Symptoms typically begin three to fourteen days after infection. These may include a high fever, headache, vomiting, muscle and joint pains, and a characteristic skin rash. Recovery generally takes two to seven days. In a small proportion of cases, the disease develops into severe dengue, also known as dengue hemorrhagic fever, resulting in bleeding, low levels of blood platelets and blood plasma leakage, or into dengue shock syndrome"
Hepatitis D,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).Hepatitis D virus (HDV) is an RNA virus that was discovered in 1977 and is structurally unrelated to the hepatitis A (HAV), hepatitis B (HBV), and hepatitis C (HCV) viruses. HDV causes a unique infection that requires the assistance of HBV viral particles to replicate and infect hepatocytes.Its clinical course is varied and ranges from acute, self-limited infection to acute, fulminant liver failure."
Heart attack,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle.Complications are often related to the damage done to your heart during an attack, which can lead to: 1. Abnormal heart rhythms (arrhythmias). Electrical ""short circuits"" can develop, resulting in abnormal heart rhythms, some of which can be serious, even fatal. 2. Heart failure. An attack might damage so much heart tissue that the remaining heart muscle can't pump enough blood out of your heart. "
Pneumonia,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.Pneumonia is an infection that inflames the air sacs in one or both lungs. The air sacs may fill with fluid or pus (purulent material), causing cough with phlegm or pus, fever, chills, and difficulty breathing. A variety of organisms, including bacteria, viruses and fungi, can cause pneumonia.Pneumonia can range in seriousness from mild to life-threatening. It is most serious for infants and young children, people older than age 65"
Arthritis,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis.Risk factors for arthritis include: 1. Family history. Some types of arthritis run in families, so you may be more likely to develop arthritis if your parents or siblings have the disorder. Your genes can make you more susceptible to environmental factors that may trigger arthritis. 2. Age. The risk of many types of arthritis — including osteoarthritis, rheumatoid arthritis and gout — increases with age. 3. Your sex"
Gastroenteritis,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .This typically lasts less than two weeks. It is not related to influenza, though it has erroneously been called the ""stomach flu"".
Gastroenteritis is usually caused by viruses. However, bacteria, parasites, and fungus can also cause gastroenteritis"
Tuberculosis,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis. The bacteria that cause tuberculosis are spread from one person to another through tiny droplets released into the air via coughs and sneezes.Once rare in developed countries, tuberculosis infections began increasing in 1985, partly because of the emergence of HIV, the virus that causes AIDS. HIV weakens a person's immune system so it can't fight the TB germs."
